lot_frontage,lot_area,overall_qual,overall_cond,year_built,year_remod_add,mas_vnr_area,bsmt_fin_sf_1,bsmt_fin_sf_2,bsmt_unf_sf,total_bsmt_sf,first_flr_sf,second_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abv_gr,kitchen_abv_gr,tot_rms_abv_grd,fireplaces,garage_yr_blt,garage_cars,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,three_ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,ms_subclass,ms_zoning,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,bldg_type,house_style,roof_style,exterior_1st,exterior_2nd,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type_1,bsmt_fin_type_2,heating,heating_qc,central_air,electrical,kitchen_qual,functional,fireplace_qu,garage_type,garage_finish,garage_qual,garage_cond,paved_drive,sale_type,sale_condition,sale_price
58,26639,5,3,1919,1980,293.9998303446564,609.1735854176026,64.20192091149642,70.55328043259861,743.9287867616976,1387.9924356228844,307.13245394300554,26.92399265534998,1341.1269059873375,1,0,1,1,4,1,4,1,1999,2,319.1508113671421,111.1200126573148,10.547379515215123,90.2992364706754,50.45858584199804,34.87746444601939,26.888877051374852,125.61098286593383,5,2010,180,RH,Pave,IR2,HLS,NoSeWa,Inside,Gtl,NAmes,Artery,1Fam,1Story,Flat,HdBoard,VinylSd,Ex,TA,Slab,Ex,Gd,No,Unf,GLQ,GasA,Ex,Y,SBrkr,Ex,Maj1,TA,Detchd,Unf,TA,TA,P,ConLD,Abnorml,561209.57
72,22537,4,3,1951,1992,146.38151025362626,164.83986239102867,89.52623869188916,156.4680983585904,410.83419944150825,1417.4834299471627,241.08597936840417,23.686084329520405,2501.3334110980736,2,1,2,0,3,1,3,1,1949,0,422.67120741932973,81.1752536157677,31.272228878047255,22.20237115211546,9.801324409219314,17.461862568671833,40.546653401214044,107.30364311984883,11,2007,160,RM,Grvl,Reg,Bnk,AllPub,Corner,Gtl,Somerst,Artery,TwnhsE,1.5Fin,Hip,Wd Sdng,Plywood,Fa,TA,PConc,Ex,Gd,Mn,ALQ,LwQ,Grav,Ex,Y,FuseF,Gd,Typ,TA,BuiltIn,Fin,Fa,Gd,P,COD,Abnorml,554986.46
106,20044,9,2,1934,1987,152.3848174490525,103.44367914969894,178.27791476043635,138.34470276653897,420.06629667667426,3007.807588265553,1021.3521986063313,33.13259080860081,1724.4740845262725,1,1,3,0,2,1,10,2,1932,3,347.2546049751844,80.32591208527715,108.231099236984,12.026054618714133,59.25087799954307,10.647824573645261,56.67454138659849,2.556972838961818,6,2010,70,RM,Pave,IR1,Bnk,NoSeWa,Inside,Sev,OldTown,Feedr,1Fam,1.5Fin,Gable,MetalSd,Plywood,Ex,Gd,PConc,TA,Ex,Gd,ALQ,Rec,Grav,TA,N,SBrkr,TA,Maj1,Ex,Attchd,Fin,TA,Ex,P,New,Abnorml,643682.23
54,26594,6,7,1971,1971,26.690250545842346,643.171489986422,56.605894861456385,257.64267596137995,957.4200608092583,1538.0300304612383,121.80563727578195,48.32791214832704,1987.0865320603446,2,0,3,1,5,1,11,2,1969,0,693.812914924007,70.11010332886684,101.55058731083521,71.40453903720552,55.71659625334071,3.1465246095365984,79.69747726956147,584.8618799899722,8,2008,60,RH,Pave,IR2,Lvl,AllPub,Inside,Sev,Edwards,Feedr,Duplex,1Story,Flat,VinylSd,MetalSd,Fa,TA,PConc,Ex,TA,Gd,ALQ,LwQ,GasW,Ex,N,FuseA,Ex,Typ,Ex,CarPort,RFn,Gd,Po,N,COD,Normal,598524.7
107,20084,6,7,1975,1999,93.92629403691498,341.4232192262538,56.13235747751437,394.3076793302988,791.863256034067,1814.8969796333997,358.477928382545,33.6016601479478,2726.6747962568597,1,1,3,0,1,1,10,0,1986,0,707.8264753885447,132.85535689166383,113.28818536954579,13.025003512822106,37.27778303659706,95.18643228153242,22.55011308795956,99.28381305748053,4,2008,80,RL,Grvl,Reg,HLS,AllPub,FR2,Mod,Edwards,Feedr,Duplex,1.5Fin,Flat,Wd Sdng,Wd Sdng,Fa,TA,Slab,Gd,Ex,Mn,BLQ,ALQ,GasA,Ex,Y,SBrkr,Gd,Min2,Fa,Attchd,Fin,Po,TA,N,ConLD,Family,654979.17
50,12613,4,5,2001,2001,209.3414369453173,855.0764619119773,82.16564980822494,45.10935119000171,982.351462910204,1188.8349365391264,235.42833918572197,111.92002416965124,2413.5937475611895,2,1,2,0,4,1,12,2,1999,0,488.2266907190738,2.975652632120904,42.67922395403648,52.30202506088167,9.501856649758924,55.00443980704975,10.689908220726513,258.4590905821879,5,2007,120,RH,Grvl,IR2,Bnk,AllPub,Inside,Mod,NAmes,Norm,Duplex,1Story,Hip,MetalSd,Plywood,Gd,Gd,BrkTil,Gd,Ex,Mn,Rec,GLQ,Grav,TA,Y,SBrkr,Gd,Typ,Gd,Detchd,Fin,Gd,TA,P,ConLD,Normal,548364.07
57,13564,3,6,1987,1987,115.74935594262368,796.3716403729534,47.288220180738634,220.7441511463248,1064.4040117000168,400.0,790.7731159648075,29.140314951137952,1978.9461620298114,2,0,1,1,2,1,7,0,1985,2,281.75172921311923,134.6126390245806,45.50930574759232,92.65286570153172,17.78520305789852,15.506906717335035,98.72232979138269,691.9002952165581,12,2006,20,RL,Pave,IR2,HLS,NoSeWa,Corner,Sev,CollgCr,Feedr,Duplex,1Story,Flat,HdBoard,VinylSd,Gd,Ex,CBlock,Ex,Fa,Av,BLQ,Rec,Grav,Fa,N,FuseA,Fa,Min2,Po,CarPort,Fin,TA,Gd,N,New,Normal,505567.0
98,16476,3,8,1927,2008,19.60833109633953,111.99316184006665,13.645414837715064,123.53127201075715,249.16984868853888,1313.249867130796,252.91254028689698,59.69914841781256,2216.6798091025107,0,0,2,1,2,2,9,1,1988,0,338.1237739917957,105.16340181292018,143.01400315917027,33.843722948204416,20.277040853518645,2.223810477573599,77.71158467002876,335.8976733911379,3,2006,120,FV,Pave,Reg,HLS,NoSeWa,Inside,Sev,Somerst,Feedr,Duplex,1.5Fin,Hip,Wd Sdng,VinylSd,Ex,TA,BrkTil,Fa,TA,No,GLQ,ALQ,GasW,Gd,N,FuseA,Ex,Typ,TA,Detchd,Fin,Gd,Po,P,WD,Family,517079.35
119,4485,3,7,1922,1990,92.51500839742316,271.0768870485597,20.14158365014295,226.24034790304486,517.4588186017475,971.6388081517107,1117.6983547302877,1.9775331694965406,1095.4906844803627,2,1,1,0,1,2,5,2,1986,2,1209.4062669861978,99.4126556978385,51.09491914712791,18.506434824016125,26.28525972380531,41.14012229236475,50.734864505242875,2.306302925242249,5,2006,20,RH,Pave,IR1,Bnk,AllPub,Corner,Sev,OldTown,Feedr,1Fam,1.5Fin,Flat,MetalSd,Plywood,Gd,Fa,PConc,Ex,TA,No,Rec,LwQ,GasA,Gd,Y,FuseA,Ex,Maj1,Gd,CarPort,RFn,Ex,Po,N,COD,Family,455638.63
57,22768,3,2,1998,1998,139.25605968518295,126.3505772575791,217.39209147588653,156.95891184617716,500.7015805796428,941.2519124756213,347.0853715959166,33.13988893688705,999.6506564449684,0,1,1,0,3,1,7,1,1996,2,926.4684590837926,150.4894469654047,17.974645948352023,30.3727061523932,63.52726147831559,18.14624092836356,60.383238141626215,26.975601267343563,10,2009,20,RH,Grvl,Reg,Lvl,NoSeWa,Corner,Sev,OldTown,Artery,1Fam,1.5Fin,Flat,MetalSd,Plywood,Gd,Fa,CBlock,Gd,Gd,Gd,Rec,Rec,Grav,Ex,N,SBrkr,Fa,Min1,Ex,Detchd,Fin,Gd,Gd,N,WD,Family,405812.52
69,20277,7,8,1954,1979,85.00336463957295,125.37481229510257,148.89991695183855,351.53543912087014,625.8101683678112,799.8139267370007,690.8606656858952,23.372100087702446,4500.0,0,1,1,1,1,2,4,1,1952,2,359.7096729692314,12.018373554398917,32.92186662609864,128.3063823878133,15.692690411181417,57.60703495624391,30.750823160238077,13.48133522900027,4,2009,70,FV,Grvl,IR1,Bnk,NoSeWa,CulDSac,Mod,Somerst,Artery,TwnhsE,1Story,Hip,HdBoard,VinylSd,TA,Fa,BrkTil,Gd,TA,Av,Unf,BLQ,Grav,Fa,N,FuseF,TA,Maj1,Ex,Attchd,RFn,TA,TA,Y,COD,Family,750552.0
132,22471,2,2,1910,2001,42.274150969391876,209.57186663931364,79.59927830093189,92.95073082850149,382.12187576874703,941.2452845325915,257.2947645574901,20.979276199737804,963.3697413144805,0,0,3,1,1,2,9,2,1926,1,144.94096429202227,194.22178024821264,114.67302047104064,31.84600289657226,49.545153294802205,7.88008149150476,58.557351927932864,255.66496107380036,10,2008,80,RL,Grvl,IR2,Lvl,NoSeWa,Inside,Gtl,CollgCr,Norm,1Fam,1.5Fin,Hip,Wd Sdng,Plywood,TA,Fa,Slab,Ex,Ex,Av,LwQ,LwQ,GasA,Ex,N,SBrkr,Gd,Typ,Gd,CarPort,Unf,TA,Po,Y,COD,Family,407109.2
138,16950,7,2,1991,1991,165.83178512027587,450.41686087034975,128.7621214117954,129.82416220126498,709.0031444834101,701.1201172806691,596.7306239496362,85.24020168721714,2743.0173013385506,0,1,3,1,2,2,7,1,1989,1,622.8093671309476,68.14635860818375,91.61189610446208,56.35671331943187,5.0084190208159605,14.829627619227633,113.93226420139764,73.14569103940298,5,2010,60,RM,Grvl,IR2,Bnk,NoSeWa,Inside,Gtl,OldTown,Feedr,Duplex,1Story,Flat,Wd Sdng,VinylSd,Ex,Gd,BrkTil,TA,TA,Av,Unf,ALQ,Grav,TA,N,FuseA,Ex,Maj1,Gd,CarPort,Unf,Po,TA,N,COD,Family,659202.39
98,23922,9,4,1971,2006,64.61892992848209,452.26577845588054,152.54695156218443,196.66611692333885,801.4788469414038,1713.2642354255756,287.4166135250849,149.8728638866814,1328.9393784486547,2,1,2,0,3,1,8,1,1969,2,246.00470182782993,64.5634621142253,57.69017108127784,23.601451754505774,10.829722258875218,20.264959989468114,8.811820956574769,10.690689411153144,7,2010,180,FV,Grvl,Reg,HLS,AllPub,Corner,Mod,OldTown,Feedr,1Fam,1Story,Flat,MetalSd,Plywood,Ex,TA,PConc,TA,Ex,Mn,LwQ,LwQ,GasW,Ex,N,FuseA,TA,Typ,TA,Attchd,Fin,Fa,TA,Y,ConLD,Normal,626464.15
84,28593,8,7,1902,1975,123.85561604980492,414.21833005375527,42.338372212059575,169.45523822351228,626.0119404893271,530.7340468962893,194.73667992446255,48.8310859830791,2358.3585873821353,0,0,1,1,5,2,11,1,1929,1,817.0430374872446,36.734819171687704,12.50355816196548,4.645900376303385,8.438314577365528,46.57836029820061,12.409682882506257,13.712068173757858,12,2008,70,FV,Pave,IR2,HLS,NoSeWa,Inside,Mod,Somerst,Artery,TwnhsE,1.5Fin,Gable,HdBoard,MetalSd,Fa,Gd,PConc,Ex,TA,Mn,LwQ,Rec,Grav,TA,Y,FuseA,TA,Min2,Ex,BuiltIn,Unf,Gd,Fa,Y,ConLD,Partial,688696.22
74,17958,5,2,1986,1986,90.6526472399333,250.31286936226473,26.34876600612824,195.7898969392636,472.4515323076566,2779.05942195336,867.3113364571744,1.0820080386711064,500.0,0,0,3,0,5,1,3,0,1984,2,210.8430952914841,41.91557768928892,91.04696557106446,71.25666587874605,50.25000807099666,11.784678300114237,65.70267976576125,49.331672721169085,9,2009,80,RM,Grvl,IR2,HLS,AllPub,Inside,Sev,OldTown,Feedr,1Fam,1.5Fin,Flat,Wd Sdng,Plywood,Fa,Ex,CBlock,Fa,Gd,Av,Rec,BLQ,GasW,Ex,Y,FuseA,Fa,Maj1,Po,Detchd,Fin,Fa,TA,Y,WD,Family,425863.41
101,14442,2,4,1967,1971,62.62361051319143,469.0878882246436,200.27515106058243,56.2326758443124,725.5957151295385,1627.3665886756164,250.7982381858462,13.759882368058715,623.9323074212713,1,1,3,1,3,2,7,0,1965,2,248.2263599137924,11.380981740742637,48.889796904267,23.56861384678632,73.82196827510644,41.63286048439808,119.95670527068273,13.29245704217168,12,2006,75,FV,Pave,IR1,Bnk,AllPub,CulDSac,Gtl,Edwards,Feedr,Duplex,1.5Fin,Hip,HdBoard,VinylSd,Ex,Ex,Slab,Ex,Gd,Av,LwQ,Rec,GasA,Ex,N,FuseF,Ex,Typ,TA,BuiltIn,Fin,Fa,Ex,N,COD,Partial,396897.76
99,4929,8,3,1968,1982,315.8878731635938,102.01786547767149,3.2328764658361564,535.0049459175793,640.2556878610869,1986.0845689425003,254.9577393701907,2.8395688403409056,2836.3019991084843,2,1,2,1,3,1,6,2,1966,2,132.50473037946344,92.58671296079585,17.707019908182463,78.16503451755631,12.818206230403318,3.4811002297814495,141.42322516872,129.29691953096113,3,2008,70,RH,Pave,IR1,Bnk,AllPub,FR2,Mod,Somerst,Artery,TwnhsE,1.5Fin,Flat,HdBoard,VinylSd,TA,Fa,Slab,Gd,TA,Gd,BLQ,LwQ,Grav,TA,Y,FuseA,Fa,Typ,Gd,Attchd,Fin,Ex,Gd,P,COD,Partial,668778.35
69,23802,2,4,1996,1996,56.93877086762448,345.3865821475649,130.4872311700777,147.9973057551893,623.871119072832,558.9409918303367,557.8025151040742,32.20900699427462,500.0,2,1,3,1,4,2,10,0,1994,1,1031.760750562049,52.9270964688138,112.60969262632482,54.2051604294056,9.098142629938684,23.477085542801607,11.057058314261617,142.09632692424444,11,2008,50,RL,Pave,IR1,Bnk,NoSeWa,Inside,Mod,NAmes,Artery,TwnhsE,1Story,Gable,HdBoard,VinylSd,Gd,Gd,PConc,Ex,TA,Gd,ALQ,BLQ,Grav,Gd,Y,FuseF,TA,Min2,Ex,Detchd,Fin,Po,Po,N,New,Partial,347225.69
42,27311,7,8,1955,2006,96.52006313410013,296.9375984944308,96.07551837585558,98.28190002988529,491.2950169001716,762.8004433293896,633.3500670583579,42.81603460163033,1106.298089649357,2,1,3,1,2,1,9,2,2010,0,168.30508228996064,170.7907003513124,51.272134111664215,43.35404944302457,18.417600264146326,84.92497383129229,10.679501638378156,108.37287630714616,7,2007,70,FV,Pave,IR1,HLS,NoSeWa,Inside,Sev,CollgCr,Artery,TwnhsE,2Story,Flat,VinylSd,MetalSd,Fa,Fa,Slab,Gd,Ex,Av,Rec,Unf,Grav,Fa,Y,FuseF,TA,Min2,Ex,Detchd,Fin,TA,Fa,N,New,Normal,549699.44
55,21585,7,4,1951,1961,90.43434202303484,238.917616813077,184.83918902068876,199.99454384816556,623.7513496819313,1159.7628115250852,187.81854350702628,1.6120775780846457,3563.647354759189,0,0,3,1,4,2,10,2,1949,2,591.2034248516868,115.99948849005267,69.87472859358752,98.26270881884798,7.730893701095168,116.07794554159851,32.865809414259346,11.684822630055658,10,2007,60,FV,Grvl,Reg,Lvl,NoSeWa,FR2,Mod,Edwards,Artery,Duplex,2Story,Gable,Wd Sdng,MetalSd,Fa,Gd,PConc,Ex,Ex,Mn,BLQ,Unf,GasW,TA,N,FuseA,Fa,Min1,Ex,CarPort,Unf,Po,Po,P,ConLD,Abnorml,677763.8
135,26236,3,3,1968,2008,104.64838951667139,355.0497722833773,134.51778014913728,222.09204805654008,711.6596004890547,1090.3652839662586,745.2342599949179,99.07176565845022,2651.234737281575,0,0,3,1,4,1,11,2,1966,1,306.0520350499932,102.40359543303558,158.8322835272736,23.659375394342142,13.341108768011365,66.17417545405672,1.9269026186059401,209.5766170185124,4,2006,30,RH,Grvl,Reg,Lvl,AllPub,CulDSac,Mod,Edwards,Artery,TwnhsE,2Story,Gable,HdBoard,VinylSd,TA,TA,CBlock,Ex,Ex,Av,ALQ,Rec,GasW,Fa,Y,SBrkr,Gd,Min1,Fa,Detchd,Fin,TA,Fa,N,ConLD,Partial,519912.32
81,26113,7,2,1921,1982,300.57464576467106,128.55585514237015,128.07528515970046,686.27718248188,942.9083227839506,1629.7895947060667,269.89597245814514,4.819836439072925,1283.237598298392,1,1,1,0,4,2,5,0,1946,1,250.9801437851489,58.45542679025383,84.62046369219998,69.90433695336348,18.455171203957555,2.1072080896606686,85.3550029879596,45.810566107751605,9,2008,120,RM,Pave,Reg,Lvl,NoSeWa,Corner,Sev,NAmes,Norm,Duplex,1.5Fin,Flat,Wd Sdng,Plywood,Gd,Gd,PConc,Fa,Fa,Gd,Unf,BLQ,GasA,Ex,Y,FuseF,TA,Min2,Ex,Detchd,Fin,Ex,Gd,Y,COD,Partial,558418.36
88,24346,3,3,1916,1957,139.3830362217734,425.6799823576346,29.67501912960999,436.09786182447954,891.4528633117241,1093.1610188189059,143.67706625218193,40.8119618595526,966.1476462471629,0,0,1,1,5,1,6,2,1914,0,240.50661084634123,73.29062713842481,106.46171176875237,32.11816506792954,18.651597370210247,21.148613439216316,79.78657929552625,221.46533750682943,12,2008,50,RL,Pave,IR1,HLS,NoSeWa,FR2,Sev,NAmes,Artery,TwnhsE,1Story,Gable,MetalSd,VinylSd,Gd,Gd,CBlock,Fa,TA,Av,GLQ,GLQ,GasA,Gd,Y,FuseA,Fa,Min2,Po,CarPort,RFn,Gd,Po,P,COD,Normal,442080.18
86,16080,3,2,1993,2006,62.12565781712915,291.2422562201541,157.31973152807817,166.87617783620124,615.4381655844335,2865.89059613867,400.70298825128873,97.185574782074,3877.9082121733054,0,0,1,1,2,1,6,2,1991,2,806.4120561281707,265.26624896649037,66.14795125132243,21.778916654072116,2.415137533319495,24.255378166327123,42.412887887881226,258.1552668150848,6,2006,20,RM,Pave,IR2,HLS,NoSeWa,CulDSac,Mod,OldTown,Artery,TwnhsE,1Story,Gable,HdBoard,VinylSd,Gd,TA,BrkTil,Ex,TA,No,GLQ,BLQ,GasA,Gd,N,SBrkr,TA,Min1,Ex,Attchd,RFn,Ex,TA,P,New,Family,609795.06
118,4796,8,6,1923,1971,240.6349198665473,73.9606702623334,117.34094898240227,610.4816476129342,801.7832668576699,567.4517893283479,395.6479438022927,32.88823866393264,1023.5032785839003,1,0,1,1,1,2,11,2,1943,3,1300.0,57.69580822881552,122.73957378347157,49.7308143081821,12.589151803334264,59.09678066661694,16.890694887144445,128.0101058090736,6,2008,160,RM,Grvl,IR2,HLS,NoSeWa,FR2,Sev,OldTown,Artery,1Fam,1Story,Flat,MetalSd,MetalSd,Gd,Ex,PConc,Fa,TA,No,Rec,Rec,GasW,TA,N,FuseA,Fa,Typ,Po,Detchd,Unf,Gd,TA,Y,ConLD,Partial,533279.44
46,2090,9,4,1955,1987,156.71721725102864,286.293331162906,34.40106312705083,535.7899027656256,856.4842970555824,486.5090546547498,700.8802875397287,10.71819508151,1936.336660927715,1,0,2,1,3,2,7,1,1953,3,751.3903412626097,2.205900041775672,22.30410357722719,19.097342042287135,89.40937117117102,28.20386473954967,14.044757448367813,227.20668406200554,7,2007,80,RH,Grvl,Reg,HLS,AllPub,Corner,Mod,CollgCr,Artery,Duplex,1Story,Hip,VinylSd,Plywood,Ex,Gd,Slab,Gd,Fa,Mn,GLQ,ALQ,GasW,Ex,Y,SBrkr,Ex,Min1,Gd,Detchd,RFn,Ex,Fa,P,COD,Abnorml,710035.71
48,7723,4,5,1929,1992,63.13812573470184,191.11930774014144,96.84568657953385,99.06107966438071,387.026073984056,738.1996489047594,1780.7054962693066,9.83992390810866,3386.6424045651042,1,1,3,0,2,1,10,1,1957,1,76.96352440245693,70.41213635948104,12.496990093253407,24.71789036615665,3.255984050686875,7.1821456046961565,62.430137929432576,54.40258113155754,3,2008,60,RH,Pave,Reg,Bnk,NoSeWa,FR2,Sev,Somerst,Norm,Duplex,1Story,Flat,VinylSd,Plywood,Ex,Gd,PConc,Fa,Gd,No,Unf,ALQ,Grav,TA,Y,FuseA,Fa,Typ,TA,CarPort,RFn,Ex,Po,Y,New,Normal,596728.42
67,14068,9,7,1925,1950,216.38273649741552,619.4412994152251,22.76149700416027,787.2304865831583,1429.4332830025437,942.4653920555575,550.3339195520089,33.84873614620223,2139.3841219894225,0,1,1,0,1,1,5,1,1923,0,593.089046340872,31.832071073554168,19.83243922029202,37.92381818640075,25.94477548409247,67.08266738683658,102.95869600960526,33.95219062975796,7,2010,120,RM,Grvl,Reg,Lvl,NoSeWa,Corner,Sev,CollgCr,Artery,TwnhsE,1Story,Hip,HdBoard,MetalSd,TA,Fa,Slab,Ex,Gd,No,ALQ,GLQ,GasW,Fa,N,FuseA,Fa,Maj1,Fa,Detchd,RFn,Gd,Fa,Y,ConLD,Normal,701762.25
88,22820,9,6,1966,1966,26.389409318660977,109.05997640448881,69.57740604048054,150.01662299584518,328.65400544081456,2089.1543545245936,772.5757221386717,59.81479791751397,3391.5279682540295,1,1,3,1,1,2,12,0,1964,0,307.7190798062452,65.30223524164961,45.81004240611408,94.08040509673282,23.51100705195551,104.5526353605839,16.723777282061917,50.77289825589759,3,2008,30,RM,Pave,IR2,HLS,AllPub,CulDSac,Mod,Edwards,Norm,TwnhsE,1Story,Hip,HdBoard,Plywood,Ex,Ex,PConc,Ex,Fa,Mn,BLQ,BLQ,GasA,Ex,N,FuseF,TA,Min1,Ex,BuiltIn,Fin,Gd,TA,Y,WD,Partial,718444.09
107,14762,8,3,1989,1991,34.10163940355101,112.67970292044158,412.6919683142768,240.83416857028143,766.2058398049999,1365.0932355412249,106.01008832537573,39.35352700670876,1250.0785146908372,1,1,1,0,3,1,7,1,1987,1,321.1202084615668,88.466524326377,106.36766364954359,9.12246196513783,111.3203518676113,51.41240068162432,105.70735222879802,219.25636630691946,9,2009,60,RL,Pave,Reg,Bnk,NoSeWa,Inside,Mod,Somerst,Feedr,Duplex,1.5Fin,Flat,MetalSd,MetalSd,Gd,Fa,PConc,TA,Ex,No,Rec,ALQ,Grav,Gd,N,FuseA,Ex,Typ,Ex,Detchd,Fin,Fa,Fa,N,WD,Normal,666733.99
89,2647,3,4,1949,1969,18.17757905648813,387.98978766995884,27.785531351753765,483.89068526298956,899.6660042847022,400.0,1154.3560907691403,9.523805110380058,780.843897650949,0,0,3,1,5,1,12,2,1947,0,400.36004280549895,32.434627574756675,40.892333444031934,20.734450632066267,24.843522951276988,11.148384463767954,51.781968090675036,16.853511971607595,12,2007,60,RL,Grvl,IR1,Bnk,NoSeWa,Inside,Mod,Somerst,Norm,TwnhsE,1Story,Flat,VinylSd,Wd Sdng,Ex,Gd,BrkTil,Gd,TA,Gd,ALQ,Unf,Grav,Gd,N,SBrkr,Ex,Min2,Fa,Detchd,Unf,TA,Gd,P,COD,Normal,440708.3
84,7889,4,4,1915,1950,10.125120534634105,258.03243147156513,13.44114650374011,45.33803031213932,316.8116082874446,400.0,455.41182146070975,22.71829520496826,2415.9114231967806,2,1,2,0,2,1,7,0,1992,0,349.74294561665846,10.23694603119489,104.01053105375857,60.19602985465629,83.41999035196802,125.04554644299249,108.27831899659512,106.10624636891613,10,2010,70,FV,Pave,Reg,HLS,AllPub,Inside,Sev,Somerst,Norm,Duplex,1Story,Hip,MetalSd,VinylSd,Gd,Fa,PConc,Gd,Fa,Gd,GLQ,GLQ,Grav,Fa,Y,SBrkr,Gd,Min2,TA,CarPort,Fin,Po,Gd,P,COD,Abnorml,562021.13
133,29418,7,7,1927,1951,206.05009840173994,248.65138738628116,20.46448276192738,195.90207723639276,465.0179473846013,999.6165016532333,156.38712676312642,7.703461397165677,3174.3535831984386,2,1,2,1,3,1,3,0,1928,2,489.19848105100573,71.65653991012299,72.84547674412069,17.78592278858853,24.148718370323223,55.62183674898459,22.53337039442702,58.287647713803764,12,2008,70,FV,Pave,IR2,Lvl,AllPub,Corner,Sev,NAmes,Artery,1Fam,2Story,Gable,Wd Sdng,Wd Sdng,Gd,Ex,Slab,Ex,Fa,Gd,ALQ,Unf,GasW,Gd,Y,FuseF,TA,Maj1,Po,Attchd,RFn,Ex,Po,N,ConLD,Partial,678019.18
56,29664,9,4,1918,2000,105.63245620642302,1128.4096003774175,68.63336517798027,267.34360009990945,1464.3865656553073,820.7419454983042,1124.0406009164058,7.570183342193119,2219.3419060195542,2,1,2,0,1,1,5,2,1916,0,297.76812764058144,239.12104199484529,246.4163952929174,20.24736450402492,12.078091197467257,47.793351220907915,5.513852871070143,139.56499133496143,6,2007,70,RH,Grvl,IR2,HLS,NoSeWa,Inside,Sev,Edwards,Artery,1Fam,2Story,Gable,VinylSd,Plywood,Ex,Gd,Slab,Gd,Gd,Mn,GLQ,Rec,Grav,Fa,Y,FuseF,Fa,Maj1,TA,Attchd,RFn,Gd,Po,Y,WD,Abnorml,682248.73
97,12560,8,2,1997,1997,20.136966012476883,461.1922147099294,142.77507038613783,425.5945636989474,1029.5618487950146,1018.5360477230209,471.2452224678313,6.9567688976763,876.0803830052013,2,1,3,0,1,1,7,2,1995,2,632.6568819110809,84.55934318716189,74.47519359181625,30.86231422991733,25.5394749812388,100.89383261621185,108.37987776217854,17.241708753379054,10,2006,60,RL,Pave,IR2,Lvl,NoSeWa,Corner,Mod,OldTown,Artery,1Fam,1Story,Gable,HdBoard,Plywood,Gd,TA,PConc,Ex,Fa,Mn,GLQ,LwQ,GasW,Gd,N,FuseF,Ex,Min1,TA,Attchd,RFn,Po,Gd,N,New,Partial,590502.79
94,24539,5,7,1935,1956,88.63266877013181,224.88123863611432,84.43454263258607,214.52725635230087,523.8430376210013,942.8961887274403,999.0815636579181,17.189180926311167,4500.0,2,0,2,1,4,2,4,1,1933,3,367.8865221279804,107.79808601287603,37.0392912193046,57.74391107845401,4.738963056435378,56.98406300708852,14.926087688589561,120.9112162933831,7,2010,60,RL,Pave,Reg,Bnk,NoSeWa,Corner,Gtl,Somerst,Feedr,1Fam,2Story,Hip,Wd Sdng,Wd Sdng,Ex,Gd,CBlock,Gd,Gd,Av,LwQ,LwQ,GasW,Fa,N,SBrkr,Ex,Min1,Gd,Attchd,Unf,Po,Gd,Y,COD,Family,735981.09
87,22140,3,4,1941,1984,171.8265943572747,64.74543372026179,16.356441670640095,45.92811815347383,127.02999354437571,2624.2704202946584,1910.7144326148318,25.610470582267382,660.5916290057312,0,1,1,1,4,1,10,1,1976,3,373.18183728530863,62.22407849549935,96.2073731865813,42.41053572357317,27.74564461270474,22.049552858553323,87.23085982168064,48.16214259552195,6,2008,20,FV,Grvl,IR1,Lvl,AllPub,CulDSac,Sev,OldTown,Norm,Duplex,1.5Fin,Gable,MetalSd,MetalSd,Gd,Ex,Slab,Gd,TA,Mn,Unf,ALQ,GasW,Fa,N,FuseF,Ex,Min2,Gd,BuiltIn,RFn,Fa,Ex,Y,WD,Family,383220.92
120,28075,9,2,1907,1957,48.63673544452963,215.01111122252226,141.2478302664201,682.9965515416428,1039.255493030585,1905.716096000133,119.14813796043815,37.21638838787472,1814.0848200628946,1,1,2,0,1,1,6,0,1958,3,345.28027157760397,123.9353739297591,68.66806302801933,103.25264197916894,13.473732148936831,90.69637773917243,34.96120638099911,209.56552597151673,8,2006,20,RL,Pave,IR2,HLS,AllPub,Inside,Gtl,NAmes,Feedr,1Fam,1Story,Flat,VinylSd,Wd Sdng,Ex,Ex,Slab,Ex,Ex,No,BLQ,LwQ,GasW,Gd,N,SBrkr,Ex,Typ,Po,Attchd,Fin,Po,Gd,N,ConLD,Family,693763.44
